rank,mark,wind,competitor,nat,pos,venue,date,resultscore
1,10.49,0.0,Florence GRIFFITH-JOYNER,USA,1qf1,"Indianapolis, IN (USA)",16 JUL 1988,1314
2,10.54,+0.9,Elaine THOMPSON-HERAH,JAM,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1302
3,10.60,+1.7,Shelly-Ann FRASER-PRYCE,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,1289
4,10.64,+1.2,Carmelita JETER,USA,1,Shanghai (CHN),20 SEP 2009,1280
5,10.65,+1.1,Marion JONES,USA,1,"SGJ, Johannesburg (RSA)",12 SEP 1998,1277
5,10.65,+1.0,Shericka JACKSON,JAM,1,"National Stadium, Kingston (JAM)",07 JUL 2023,1277
5,10.65,-0.2,Sha'Carri RICHARDSON,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",21 AUG 2023,1278
8,10.72,+0.4,Marie-Josée TA LOU,CIV,3,"Stade Louis II, Monaco (MON)",10 AUG 2022,1262
9,10.73,+2.0,Christine ARRON,FRA,1,"Népstadion, Budapest (HUN)",19 AUG 1998,1259
10,10.74,+1.3,Merlene OTTEY,JAM,1,"Arena Civica Gianni Brera, Milano (ITA)",07 SEP 1996,1257
10,10.74,+1.0,English GARDNER,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1257
12,10.75,+0.4,Kerron STEWART,JAM,1,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1255
13,10.76,+1.7,Evelyn ASHFORD,USA,1,Zürich (SUI),22 AUG 1984,1253
13,10.76,+1.1,Veronica CAMPBELL-BROWN,JAM,1,"Mestský Stadion, Ostrava (CZE)",31 MAY 2011,1253
15,10.77,+0.9,Irina PRIVALOVA,RUS,1f2,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1251
15,10.77,+0.7,Ivet LALOVA-COLLIO,BUL,1,Plovdiv (BUL),19 JUN 2004,1251
15,10.77,+1.6,Jacious SEARS,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1251
18,10.78,+1.0,Dawn SOWELL,USA,1,"Provo, UT (USA)",03 JUN 1989,1248
18,10.78,+1.8,Torri EDWARDS,USA,1sf2,"Eugene, OR (USA)",28 JUN 2008,1248
18,10.78,+1.6,Murielle AHOURÉ,CIV,1f1,"Montverde, FL (USA)",11 JUN 2016,1248
18,10.78,+1.0,Tianna BARTOLETTA,USA,2,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1248
18,10.78,+1.0,Tori BOWIE,USA,3,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1248
18,10.78,+1.3,Julien ALFRED,LCA,1,"National Stadium, Kingston (JAM)",01 JUN 2024,1248
24,10.79,0.0,Xuemei LI,CHN,1,Shanghai (CHN),18 OCT 1997,1246
24,10.79,-0.1,Inger MILLER,USA,2,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1246
24,10.79,+1.1,Blessing OKAGBARE,NGR,1,"Olympic Stadium, London (GBR)",27 JUL 2013,1246
27,10.80,+0.8,Melissa JEFFERSON,USA,2,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1244
28,10.81,+1.7,Marlies GÖHR,GDR,1,Berlin (GER),08 JUN 1983,1242
28,10.81,-0.3,Dafne SCHIPPERS,NED,2,"National Stadium, Beijing (CHN)",24 AUG 2015,1243
28,10.81,+0.5,Aleia HOBBS,USA,1sf1,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1242
31,10.82,-1.0,Gail DEVERS,USA,1,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992,1245
31,10.82,+0.4,Gwen TORRENCE,USA,2,Paris (FRA),03 SEP 1994,1239
31,10.82,-0.3,Zhanna BLOCK,UKR,1,"Commonwealth Stadium, Edmonton (CAN)",06 AUG 2001,1240
31,10.82,-0.7,Sherone SIMPSON,JAM,1,Kingston (JAM),24 JUN 2006,1243
31,10.82,+0.9,Michelle-Lee AHYE,TTO,1f2,Port-of-Spain (TTO),24 JUN 2017,1239
31,10.82,+0.6,Twanisha TERRY,USA,1,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",30 JUL 2022,1239
37,10.83,+1.7,Marita KOCH,GDR,2,Berlin (GER),08 JUN 1983,1237
37,10.83,0.0,Sheila ECHOLS,USA,1qf2,"Indianapolis, IN (USA)",16 JUL 1988,1237
37,10.83,-1.0,Juliet CUTHBERT,JAM,2,"Estadio Olímpico, Barcelona (ESP)",01 AUG 1992,1243
37,10.83,+0.1,Katerina THANOU,GRE,2sf1,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1237
37,10.83,+0.1,Dina ASHER-SMITH,GBR,2,"Khalifa International Stadium, Doha (QAT)",29 SEP 2019,1237
37,10.83,+0.9,Teahna DANIELS,USA,4,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1237
37,10.83,+0.6,Tamari DAVIS,USA,2,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",30 JUL 2022,1237
44,10.84,+1.9,Chandra STURRUP,BAH,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2005,1235
44,10.84,+1.8,Kelly-Ann BAPTISTE,TTO,1f1,"Clermont, FL (USA)",05 JUN 2010,1235
46,10.85,+2.0,Anelia NUNEVA,BUL,1h1,Sofia (BUL),02 SEP 1988,1233
46,10.85,+1.0,Muna LEE,USA,1,"Eugene, OR (USA)",28 JUN 2008,1233
46,10.85,+2.0,Barbara PIERRE,USA,1sf1,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2013,1233
46,10.85,+0.8,Natasha MORRISON,JAM,6,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1233
50,10.86,+0.6,Silke MÖLLER,GDR,1,Potsdam (GDR),20 AUG 1987,1231
50,10.86,0.0,Diane WILLIAMS,USA,2qf1,"Indianapolis, IN (USA)",16 JUL 1988,1231
50,10.86,+1.2,Chryste GAINES,USA,1,"Stade Louis II, Monaco (MON)",14 SEP 2003,1231
50,10.86,+2.0,Marshevet HOOKER,USA,2,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1231
50,10.86,+1.0,Tia CLAYTON,JAM,1sf2,"National Stadium, Kingston (JAM)",28 JUN 2024,1231
55,10.87,+1.8,Octavious FREEMAN,USA,2,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2013,1228
55,10.87,+1.8,Cambrea STURGIS,USA,1,"Marcus T. Johnson Track, Greensboro, NC (USA)",23 APR 2022,1228
57,10.88,+0.4,Lauryn WILLIAMS,USA,2,Zürich (SUI),19 AUG 2005,1226
57,10.88,+0.5,Tamara CLARK,USA,3sf1,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1226
57,10.88,+0.9,Kemba NELSON,JAM,2,"National Stadium, Kingston (JAM)",24 JUN 2022,1226
57,10.88,+1.2,Rosemary CHUKWUMA,NGR,1h3,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2024,1226
61,10.89,+1.8,Katrin KRABBE,GDR,1,Berlin (GER),20 JUL 1988,1224
61,10.89,0.0,Xiaomei LIU,CHN,2,Shanghai (CHN),18 OCT 1997,1224
61,10.89,+1.5,Allyson FELIX,USA,5,"Olympic Stadium, London (GBR)",04 AUG 2012,1224
61,10.89,+0.6,Mujinga KAMBUNDJI,SUI,1,"Letzigrund, Zürich (SUI)",24 JUN 2022,1224
61,10.89,+0.9,Shawnti JACKSON,USA,1,"Vanderbilt Track, Nashville, TN (USA)",03 JUN 2023,1224
66,10.90,+1.4,Glory ALOZIE,NGR,1,Laguna (ESP),05 JUN 1999,1222
66,10.90,+1.8,Shalonda SOLOMON,USA,2f1,"Clermont, FL (USA)",05 JUN 2010,1222
66,10.90,+1.8,Ajla DEL PONTE,SUI,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 AUG 2021,1222
66,10.90,+1.0,Abby STEINER,USA,1sf2,"Hayward Field, Eugene, OR (USA)",09 JUN 2022,1222
66,10.90,+1.1,Daryll NEITA,GBR,1sf3,"Alexander Stadium, Birmingham (GBR)",03 AUG 2022,1222
66,10.90,+0.7,Brittany BROWN,USA,2,"Hayward Field, Eugene, OR (USA)",07 JUL 2023,1222
72,10.91,+0.2,Heike DRECHSLER,GDR,2,Moskva (URS),06 JUL 1986,1220
72,10.91,+1.1,Savatheda FYNES,BAH,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 1999,1220
72,10.91,+1.5,Debbie FERGUSON,BAH,1,Manchester (GBR),27 JUL 2002,1220
72,10.91,+1.8,Alexandria ANDERSON,USA,3,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2013,1220
72,10.91,-0.2,Rosângela SANTOS,BRA,2sf2,"Olympic Stadium, London (GBR)",06 AUG 2017,1221
72,10.91,+0.3,Brianna LYSTON,JAM,1,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1220
72,10.91,0.0,Mckenzie LONG,USA,1sf3,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1220
79,10.92,0.0,Alice BROWN,USA,2qf2,"Indianapolis, IN (USA)",16 JUL 1988,1217
79,10.92,+1.1,D'Andre HILL,USA,3,"Atlanta, GA (USA)",15 JUN 1996,1217
79,10.92,+0.1,Yulia NESTSIARENKA,BLR,1sf1,"Olympic Stadium, Athina (GRE)",21 AUG 2004,1217
79,10.92,+1.4,Jenna PRANDINI,USA,1f1,"Walnut, CA (USA)",18 APR 2015,1217
79,10.92,+1.2,Jasmine TODD,USA,3,"Hayward Field, Eugene, OR (USA)",26 JUN 2015,1217
79,10.92,+0.6,Shania COLLINS,USA,3,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",30 JUL 2022,1217
79,10.92,+1.0,Alana REID,JAM,1,"National Stadium, Kingston (JAM)",29 MAR 2023,1217
79,10.92,+0.9,Anthonique STRACHAN,BAH,2,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1217
87,10.93,+1.8,Ewa KASPRZYK,POL,1,Grudziadz (POL),27 JUN 1986,1215
87,10.93,+1.0,Tayna LAWRENCE,JAM,1,Bruxelles (BEL),30 AUG 2002,1215
87,10.93,+1.8,Jeneba TARMOH,USA,4,"Drake Stadium, Des Moines, IA (USA)",21 JUN 2013,1215
87,10.93,+2.0,Favour OFILI,NGR,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",30 APR 2022,1215
87,10.93,+0.5,Gina Mariam BASS BITTAYE,GAM,1,"Stade L. Achille, Fort-de-France (FRA)",18 MAY 2024,1215
92,10.94,+1.0,Carlette GUIDRY,USA,1,"New York, NY (USA)",14 JUN 1991,1213
92,10.94,-0.1,Schillonie CALVERT-POWELL,JAM,1h1,"Mesa, AZ (USA)",10 JUN 2017,1213
92,10.94,+1.8,Celera BARNES,USA,3sf2,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1213
92,10.94,+0.9,Briana WILLIAMS,JAM,4,"National Stadium, Kingston (JAM)",24 JUN 2022,1213
92,10.94,+0.2,Ewa SWOBODA,POL,3,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1213
92,10.94,-0.1,Dajaz DEFRAND,USA,1sf2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1213
98,10.95,+1.0,Bärbel WÖCKEL,GDR,2,Dresden (GER),01 JUN 1982,1211
98,10.95,+2.0,Me'Lisa BARBER,USA,3,"Carson, CA (USA)",20 MAY 2007,1211
98,10.95,+1.8,Simone FACEY,JAM,1,"Boulder, CO (USA)",18 MAY 2008,1211
